Set #,Base,Literally similar story,True Analogy Story,False Analogy Story,Mere-Appearance Match,New Mere-Appearance Match
,Source story,"Similar to Base in entities (objects and characters,) first-order relations, and higher-order relations (chiefly causal relations )",Similar to Base in higher-order relations and many (though not all)  first-order relations : dissimilar in entities,First-order relational match.  Similar to Base in first-order relations ; dissimilar in entities  and higher-order relations,"Similar to Base in entities and first-order relations but not in higher-order relations  (ie, Surface-similar).",Entities-only match. Matches the base in entities only.
1,"William was a patient in a psychiatric hospital who was confined indoors almost all the time. He could never pass the monthly room inspections so he hated them. He spent most of his time daydreaming about food.
A few day before the April inspection William's room was still a mess since he had done nothing but daydream. To provide William with an incentive, the nurse promised him some gingerbread from the cookie shop if he scrubbed his room and put it in order once and for all.
William was overjoyed. But there was no longer enough time for him to put it in order. As a result, he did not pass the inspection and did not get any gingerbread.
William sulked all day and slammed his door so hard the plaster cracked, but he still didn't get any gingerbread.","Kevin was a shut-in at a mental institution. He always did poorly at the weekly bedroom checks so he disliked them. About the only thing Kevin liked to do was eat.
Not long before the last check of the year, Kevin's bedroom was still a disaster because he had spent all his time daydreaming. To motivate him, the matron promised Kevin a cake from the bakery if he cleaned and organized his bedroom.
This made Kevin extremely happy. But he was too far behind in his cleaning to get his bedroom ready in time. Consequently, he didn't get a cake after all.","Karen always did poorly in high school so she despised it. But she loved vacations. She spent most of her time dreaming about going to Hawaii.
Not long before the end of her fourth year Karen was not doing at all well in her classes because she had spent all her time daydreaming. To motivate her, Karen's father promised her that if she did well enough during the next few weeks to graduate from high school he would pay for her trip to Hawaii.
This made Karen extremely happy. But she was too far behind in her classes. Consequently she failed too many and did not go to Hawaii.
","Karen disliked high school so she always had trouble getting passing grades in her classes. Vacations were her favorite part of the school year.
Not long before the end of her fourth year of school, Karen was not doing well at all because she despised school. To motivate her, Karen's father promised her a trip to Hawaii if she would just pass enough of her classes to graduate.
This made Karen extremely happy. During the last few weeks of school she spent most of her time dreaming about Hawaii and preparing for her trip there. Consequently, she failed to graduate and she did not get to go.","Kevin was a shut-in at a mental institution. He disliked cleaning his room so he always failed the weekly bedroom checks. About the only thing Kevin liked to do was eat.
Not long before the last check of the year, Kevin's bedroom was still a disaster because he despised cleaning. To motivate him, the matron promised Kevin a cake from the bakery if he cleaned and organized his bedroom.
This made Kevin extremely happy. During the next few days he spent most of his time dreaming about the bakery and deciding what kind of cake to get. Consequently, he didn't clean his bedroom and did not get a cake after all.","Kevin was a shut-in at a mental institution. He loved to paint so he was also assigned the job of painting the recreation room. Every day one of the matrons stopped by to watch him paint. At lunch he used to go to the institution's bakery and get some cake. Unfortunately, this led to problems because he tended to drop cake crumbs into the paint. Luckily for him, when the matron visited she didn't notice that the rec room was not very neatly done."
2,"Mr. Newton was the manager of a company that made razors. One year, an inventor in his company perfected a metal that would stay sharper than any previous razor.
However, not long after that, Mr. Newton was using one of these new razors and he cut his neck rather severely. As a result of this incident the inventor recommended a safety feature that would protect people from injuring themselves.
After what had happened, Mr. Newton considered the safety feature absolutely necessary. The incident had alarmed him so much that he began to produce the safety razor right away. Luckily, his neck did not get infected so everything was alright.","Mr. Boyce was director of manufacturing shaving knives for Gilette Company. In 1980 an engineer in his company perfected a steel alloy that would keep a finer edge than any previous blade. But later, when Mr. Boyce was using one of these new knives he slashed his throat pretty seriously. Because of this accident, the engineer recommended a new protective part that would prevent people from hurting themselves with the blade.
After this, Mr. Boyce considered the protective part absolutely necessary. The accident frightened him so much that he had the protective part developed immediately.","Ms. Boyce was in charge of installing heat lamps sold by the Smith Tan Company. In 1980, a supplier for the company perfected a filament that could produce more intense heat than any previous filament.
But later, when Ms. Boyce was using one of these new heat lamps herself she was seriously burned. Because of this accident the supplier recommended a warning label that would protect people from hurting themselves with the new lamp.
After this, Ms. Boyce considered the labels absolutely necessary. The accident frightened her so much that she had the labels printed immediately.","Ms. Boyce was in charge of installing sun lamps sold by Smith Tan Company. In 1980, a supplier for the company perfected a filament that could produce more intense heat than any previous filament. Because it was so hot, the supplier recommended a warning label that would protect people from hurting themselves with the new lamp.
But Mrs. Boyce considered the labels unnecessary. It would be too much trouble to make them.
But later, when she was using one of these new heat lamps herself, she was seriously burned. After this accident she was so frightened that she had the warning labels printed immediately.","Mr. Boyce was director of manufacturing shaving knives for Gilette Company. In 1980, an engineer in his company perfected a steel alloy that would keep a finer edge than any previous blade. Because it was so sharp, the engineer also recommended a new protective part that would prevent people from hurting themselves with the blade.
But Mr. Boyce considered the protective part unnecessary. It would be too expensive to incorporate.
But later, when he was using one of these new blades, he slashed his own throat pretty seriously. After this accident he was so frightened that he had the protective part developed immediately","One day while Mr. Boyce was shaving, an employee burst into his office and told him a protective shield on one of their machines had broken. Unfortunately, this happened in the part of the factory that made sharp implements. As a result of the breakage several employees had nearly slashed themselves. Because workers were nervous, production slowed down a great deal. Therefore, Mr. Boyce called in one of his engineers. The engineer designed a better protective shield than had been on the machines before. Mr. Boyce hoped that installing the new shield would not result in factory down time."
3,"Joseph was a millionaire who hired a chauffeur to drive his Rolls-Royce. He used to brag. to his wife that he would never be late for his conferences since he had hired a chauffeur.
One morning when he was in a great hurry, he went to find the chauffeur. But he was asleep. He thought his services would not be needed that day.
Thus Joseph was very late for his conference after all. To make sure this would not happen again, Joseph hired a second chauffeur. This turned out to be very expensive because the second chauffeur wanted a fancy uniform as well as a high salary.","Alexander was a wealthy man who employed a driver for his limousine. He liked to boast to his spouse that with his driver he would always be on time for his meetings.
One day when he was in a rush, he went to find the driver. But he was taking a nap. The driver thought it was his day off. Thus Alexander ended up missing his meeting. But to make sure he would not be late again, Alexander hired a second driver.","Alexander was a man who lived with his wife in his house a long time ago. He liked to boast to a friend that with his wife at home he would always eat well.
One day, when he was very hungry, Alexander went home to his wife. But she thought Alexander would be eating someplace else so she had only prepared enough for herself and their baby.
Thus Alexander went without dinner. But to make sure he would not go hungry again, Alexander married a second wife.","Many years ago there was man named Alexander who had two wives living in two houses: He liked to boast to a friend that with his two wives he would always eat well.
One day when he was very hungry, Alexander went to his first wife. But she had only prepared enough for herself and their baby. She thought Alexander would eat with his other wife that day.
Alexander then went to his second wife, but found she had already finished. She saw him go to the other house so she thought he was eating there.
Thus Alexander went without any dinner at all.","Alexander was a wealthy man who employed two drivers for his two limousines. He liked to boast to his spouse that with his two drivers he would always be on time for his meetings.
One day, when he was in a rush, Alexander went to the first driver. But he was taking a nap. The driver thought it was his day off.
Then Alexander called for the other driver, but he had already left. He had seen Alexander with the first driver so he thought he had the day off.
Thus, Alexander ended up missing his meeting.",NONE WRITTEN
4,"Karla, an old hawk, lived at the top of a tall oak tree.  One afternoon, she saw a hunter on the ground with a bow and some crude arrows that had no feathers.   The hunter took aim and shot at the hawk but missed.  Karla knew the hunter wanted her feathers so she glided down to the hunter and offered to give him a few.  The hunter was so grateful that he pledged never to shoot at a hawk again.  He went off and shot deer instead.",Once there was an eagle named Zerdia who nested on a rocky cliff.  One day she saw a sportsman coming with a crossbow and some bolts that had no feathers.  The sportsman attacked but the bolts missed.  Zerdia realized that the sportsman wanted her tailfeathers so she flew down and donated a few of her tailfeathers to the sportsman.  The sportsman was pleased.  He promised never to attack eagles again. ,"Once there was a small country called Zerdia that learned to make the world's smartest computer. One day Zerdia was attacked by its warlike neighbor, Gagrach.  But the missiles were badly aimed and the attack failed.  The Zerdian government realized that Gagrach wanted Zerdian computers so it offered to sell some of its computers to the country.  The government of Gagrach was very pleased.  It promised never to attack Zerdia again.","Once there was a small country called Zerdia that learned to make the world's smartest computer.  Zerdia sold one of itssupercomputers to its neighbor, Gagrach, so Gagrach would promise never to attack Zerdia. But one day Zerdia was overwhelmed by a surprise attack from Gagrach.  As it capitulated the crippled government of Zerdia realized that the attacker's missiles had been guided by Zerdian supercomputers.","Once there was an eagle named Zerdia who donated a few of her tailfeathers to a sportsman so he would promise never to attack eagles. One day Zerdia was nesting high on a rocky cliff when she saw the sportsman coming with a crossbow.  Zerdia flew down to meet the man, but he attacked and felled her with a single bolt. As she fluttered to the ground Zerdia realized that the bolt had her own tailfeathers on it.",There once was a sportsman who loved to hunt with just a crossbow and a bolt.   He liked to have the animals he caught stuffed and mounted.  But his pride and joy was an eagle he had found by a lucky accident.  He had been hiding in the top 
5,"Peter was a young man from Iceland who moved to Florida one summer. He was very self-conscious about his fair skin. Peter thought that people would not accept him unless he tanned himself golden-brown like every one else.
So Peter spent a whole day in the sun, trying to get a tan. He didn't understand how dangerous the sun could be. Consequently, by evening he had second degree burns over most of his body and he had to go to the hospital. Peter decided that Florida was not for him and booked the next ocean liner back to Iceland. He spent the whole trip under a large umbrella keeping cool.","Alfred was a young man from Sweden who was vacationing in Hawaii. He was annoyed at having to remain pale. He wanted to impress people with his dark tan.
So one day, Alfred spent the whole afternoon in the sun. He didn't realize what a risk being in the sun could be. As a result, by nightfall he had a terrible sunburn and needed medication. Alfred decided that Hawaii was not his style and decided to fly back to Sweden.","Quiggly Company was as small company that manufactured electrical components. One, year, Quiggly Co. began to get into the integrated circuit market. However, Quiggly Company felt that to be competitive it would have to have really sophisticated space factories, as did all the other manufacturers of integrated circuits. Thus, Quiggly put all its assets into having a space factory. The company just didn't realize what a financial risk space manufacturing was. As a result, within six months, Quiggly Company had spent much more than they could afford and their stocks plunged to an all time low. .Quiggly Co. decided to pull out of integrated circuits altogether and went back to making conventional electrical components.","Quiggly Company was a small company that manufactured conventional electrical components. They had just started producing integrated circuits and decided that the real action in the integrated circuit market was in space manufacturing. But the market analysts gave them a stern warning. They said that space factories were too expensive and that the market was too competitive. If Quiggly went into space manufacturing, the analysts predicted they would lose everything and their stock would plunge.
Quiggly Company was so annoyed at having to play it safe when everyone else had a chance to make a killing that they decided to go back to manufacturing conventional electric components.","Alfred was a man from Sweden who was vacationing in Hawaii. He wanted to impress his friends with a dark tan, so one day he went out to spend the. afternoon in the sun. But a doctor acquaintance chanced to pass by and gave Alfred a stern warning. If Alfred stayed in the sun, by nightfall he would have a terrible sunburn and would need medication.
Alfred was so annoyed at having to remain so pale when everyone else was tan that he decided to go back to Sweden.","Alfred was a young man with a Swedish last mane. Alfred lived in the Bahamas and had very dark skin because he spent a great deal of time in the sun.
Alfred had a job in a medical clinic and constantly saw people who had overdone it and gotten terrible sunburns. They were always embarrassed about being so silly. But Alfred never had any problems. In fact he would spend whole weekends sunning himself on a big pleasure cruiser."
6,"     Julius was a mule who discovered several pears sitting in a window sill.  He thought to himself, ""These pears seem to be rotten.  Perhaps I'll get some and find out if my prediction is correct.""
     However, the pears were too high for Julius.  And because he was hungry he felt too weak to jump up to them.  Naturally, this was rather disappointing.  He closed his eyes and went to sleep, dreaming about mountains of pears.","     A pony named Sidney found some apples resting on a beam in the barn.  ""Those apples really look wormy,"" Sidney thought to himself.  ""I think I'll try to get some so I can see if my hunch is right.""`
     But the apples were out of reach.  Needless to say, he could not climb up the ladder to get them.  Naturally Sidney became somewhat disappointed.","     A girl named Cindy found some records she was curious about at a record store.   ""These records look really bad,""  Cindy thought to herself.  ""I think I'll buy them so I can see if my hunch is right.""
     But, the records were too expensive for her.  After thinking it over, she saw there was no way she could afford them.  Needless to say, she became somewhat disappointed.","     A girl named Cindy found some records she wanted at a record store.  She really wanted them but, needless to say, they were too expensive for her.
     After brooding for awhile, Cindy got over her dissapointment.
     ""These records are probably boring,"" she thought.  ""So even if I could afford them I wouldn't listen to them.""","     A pony named Sidney found some apples resting on a beam in the barn.  He was starving, but they were out of reach.  Needless to say, he could not climb up the ladder to get them.
      After brooding for awhile, Sidney got over his disappointment. 
    ""These apples are probably all wormy,"" he thought.  ""So even if I could get one I would not want to eat it.""","     A pony named Sidney was pulling a cart of apples.  He was feeling very mischevious and decided to eat some.  So he pushed the cart up to the doorway of the barn and pushed it over.  Unfortunately they were spoiled, and so he became ill for the rest of the day."
7,"     Percy the mockingbird spent the whole warm season chirping and twittering.  When it began to get colder Percy visited a squirrel and sang a song for her, expecting to get some of the squirrel's sunflower seeds in return.  However, the squirrel was very disappointed in him.
     ""You are a terrible singer!"" she yelled.  ""I'm not giving you any of my wheat.""
     A tear  rolled down Percy's cheek, and he vowed to give up singing for good.","     A magpie named Sam sang all summer.  When winter came he paid a visit to a chipmunk and performed a ballad for her hoping she would give him some nuts in return.  However the chipmunk was not at all pleased.
     ""You don't deserve any nuts of mine!"" she exclaimed.  ""Your song was terrible.""","     Sam travelled all over the world buying beautiful things.  When he ran out of money he paid a visit to his mother and gave her a gift he bought while in Tibet, hoping she would give him a loan in return.  However, his mother was not at all pleased.  
     ""You don't deserve any money of mine!"" she exclaimed.  ""This is a piece of junk!""","     Sam travelled all over the world buying beautiful things.  When he ran out of money he paid a visit to his mother.  However, she was not at all pleased with him.
     ""While I have been hard at work you have been wasting your time,"" she said.  Sam gave her a gift he bought in Tibet, hoping she would give him a loan in return.  But she was still not pleased.  ""I will not give you any of my hard-earned money!"" she exclaimed.","     A magpie named Sam sang all summer.  When winter came he paid a visit to a chipmunk.  However, the chipmunk ws not at all pleased with Sam.
     ""You have wasted the summer while I have been hard at work!"" she said.  Sam performed a ballad for her hoping she would give him some nuts in return.  But she was still not pleased.  ""I will not give you any of my nuts!"" she exclaimed.","One unusually warm spell in February Sam the magpie thought ""this is my chance.""  He stood up on the edge of his nest and trilled proudly.  His song was so loud and cheerful that it woke a nearby chipmunk.  The chipmunk asked for another song.  He was so moved by Sam's talents that he forgot it was still winter and decided to go looking for nuts to store."
8,"A dog named Leonard was trotting along a dock holding a steak in his teeth. However, as he trotted he dropped it inadvertently and it disappeared into the lake. Thus, he was left without his dinner.
Then Leonard saw another dog with a steak. Because he had lost his own steak he tried to take it. Unluckily, the other dog was much bigger than he was. Leonard ended up losing a tooth in the scuffle.","Charlie the puppy was running out on a pier with a pork chop in his mouth. As he ran he
accidently dropped it and it vanished into the bay. Thus, he was left with nothing to eat. Then Charlie saw another puppy with a pork chop in his mouth. Since he had lost his own
pork chop he reached out to take it. Unfortunately, the other puppy was much larger than he was.","Charlie was walking through a hotel with an expensive pocket watch in his hand. As he walked he accidently dropped it and it shattered on the floor. Consequently, he was left without a watch.
Then Charlie saw another man with an expensive watch. Since he had broken his own watch he reached out to take it. Unfortunately, the man was a policeman.","Charlie was walking through a hotel with an expensive pocket watch in his hand. Then he noticed another man with an expensive watch.
Not realizing it was just his reflection, and since he was also quite greedy, Charlie reached out to take it. Unfortunately, as he opened his hand he dropped his own watch and both watches shattered on the floor. Consequently he was left with no watch at all.","Charlie the puppy was running out on a pier with a pork chop in his mouth. Then he looked down and saw another puppy with a pork chop in his mouth.
Not realizing it was just his reflection, and since he was also quite hungry, Charlie reached down to take it. Unfortunately, as he opened his mouth he dropped his piece and both pieces vanished into the bay. Consequently he was left with no meat at all.","A puppy named Charlie lived under a pier in the city. With another puppy, he would look for food that would appear on the river. One day they saw 2 pork chops floating on the river. Since the other puppy was very large he went in after the chops. Charlie and his friend gratefully sank their teeth into the pork chops for supper.
 "
9,"Boris and Ivan thought well of one anothers' skill in business and resolved to open up a store together.  As ill luck would have it, Ivan was quite absent-minded and he threw out a large amount of cash.  This annoyed Boris who therefore demanded that Ivan have nothing to do with the monetary matters of their new store.  Later, however, Ivan redeemed himself by selling his fancy new stereo set to replace the lost cash.","John and Christian respected each others' technical judgment and decided to form a company.  Unfortunately Christian was so forgetful that he put all their money in the trash.  This upset John, so he insisted that Christian never deal with the proposed company's finances.","John and Christine loved each other and decided to be married.  Unfortunately, Christine was so reckless that she accidently dented John's new car.  This upset John, so he insisted that she never drive his car again.","John and Christine loved each other and decided to be married.  Unfortunately, John discovered that Christine was a very reckless driver.  So he insisted that Christine never drive his new car.  This upset Christine so much that she dented John's new car hoping that John would be hurt.","John and Christian respected each others' technical judgment and decided to form a company.  Unfortunately, John learned that Christian was notoriously forgetful, so he insisted that Christian never deal with the proposed company's finances.  This upset Christian so much that he put all their money in the trash to get back at John.",John and Christian both had a great deal of technical knowledge about the finance world.  They both valued the advice of a certain brokerage company.  This company had some very eccentric ways of money; they kept a large amount of money in a trash can in the office.  Yet they never had any problems with this unusual financial arrangement.
